company_name,date_of_registration,month_name,state,roc,category,class,company_type,activity_code,activity_description
WELD IN EQUIPMENTS PRIVATE LIMITED  ,13/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,29100,Manufacturing (Machinery & Equipments)
US RESIDENCY PRIVATE LIMITED  ,13/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,55209,Trading
PRIZOPRIZ PRIVATE LIMITED  ,13/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,52609,Trading
FILIS THREAD INTERNATIONAL PRIVATE LIMITED ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,17200,Manufacturing (Textiles)
OXYFLORA BIOTECH PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
MRUDU CREATION EVENTS AND ENTERTAINMENT PRIVATE LIMITED ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,92490,"Community, personal & Social Services"
MILLI PURE FOODS PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,15400,Manufacturing (Food stuffs)
DATCHIK ELECTRONICS PRIVATE LIMITED  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
RBG MUTUAL MONEY BENEFITS NIDHI LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Public,Non-govt company,65991,Finance
VVL INFRA PRIVATE LIMITED  ,13/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,45309,Construction
JSJ CONSULTANCY PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
WULAR FED FRUIT FARMERS PRODUCER COMPANY LIMITED ,13/04/21,Apr-21,Jammu & Kashmir,RoC-Jammu,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
PROGRESSIVE SPORTS TECHNOLOGIES PRIVATE LIMITED ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,92490,"Community, personal & Social Services"
YOUR KITCHEN NEST PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,55101,Trading
APTUS E WASTE RECYCLING PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,37100,Manufacturing (Others)
BHARAT GROWTH CAPITAL PRIVATE LIMITED  ,13/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,67190,Finance
MMM STAR FACILITY MANAGEMENT SERVICES PRIVATE LIMITED ,13/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,74999,Business Services
LOUDCURTAINS (OPC) PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
NUTRIHILLS PRIVATE LIMITED  ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
TOUR DE FORCE CONSULTANTS PRIVATE LIMITED ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,74999,Business Services
MINETTE (OPC) PRIVATE LIMITED  ,13/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private(One Person Company),Non-govt company,14290,Mining & Quarrying
CHAHALBROTHERS FUELS PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,50400,Trading
SHRINATH AUTOMOBILES PRIVATE LIMITED  ,13/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,52609,Trading
KNITT TECHNOLOGIES PRIVATE LIMITED  ,13/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,72900,Business Services
NATURES EQ PRIVATE LIMITED  ,13/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,24100,"Manufacturing (Metals & Chemicals, and products thereof)"
FLIP ACAD PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,80903,"Community, personal & Social Services"
ASCONS WHEELS INDIA PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,34102,Manufacturing (Machinery & Equipments)
RITAMBHARA INFRA PROJECTS PRIVATE LIMITED ,13/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,45202,Construction
CEMP INFRASTRUCTURE & DEVELOPER PRIVATE LIMITED ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,45209,Construction
MAVELL SOLUTIONS PRIVATE LIMITED  ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,74999,Business Services
NIRMAL BALAJI SPINTEX PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,17299,Manufacturing (Textiles)
MORVINANDAN STEEL PRIVATE LIMITED  ,13/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,35200,Manufacturing (Machinery & Equipments)
WAHHAJ TELECOM PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,64200,"Transport, storage and Communications"
SKILL CONSTRUCTION INFRA PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,45400,Construction
PARVEZ MEDIA PRODUCTIONS PRIVATE LIMITED  ,13/04/21,Apr-21,Punjab,RoC-Chandigarh,Company limited by Shares,Private,Non-govt company,92490,"Community, personal & Social Services"
NRB PAPERS PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,21099,"Manufacturing (Paper & Paper products, Publishing, printingand reproduction of recorded media)"
GFARMS PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
BMBANC INTERNATIONAL PRIVATE LIMITED  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,15100,Manufacturing (Food stuffs)
PRIVI FINE SCIENCES PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,24110,"Manufacturing (Metals & Chemicals, and products thereof)"
FABROBE FASHIONS PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,52390,Trading
OBEROITEL IVR PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52609,Trading
RAHIK IMPEX (OPC) PRIVATE LIMITED  ,13/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private(One Person Company),Non-govt company,5000,Agriculture and Allied Activities
ASM KNITWEARS PRIVATE LIMITED  ,13/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,17299,Manufacturing (Textiles)
ANVEE BUSINESS SOLUTIONS PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,74999,Business Services
ABHAYSURAKSSHA AGRO FOODS PRIVATE LIMITED ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,15400,Manufacturing (Food stuffs)
MAHAKISAN VRIDDHI AGRO PRODUCER COMPANY LIMITED ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
WUNDORGUARD PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,24290,"Manufacturing (Metals & Chemicals, and products thereof)"
JERAI AGRO INDUSTRIES PRIVATE LIMITED  ,13/04/21,Apr-21,Assam,RoC-Shillong,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
LETZHELP RAMIS FOUNDATION  ,13/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
AGRAWAL AGROPACK PRIVATE LIMITED  ,13/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,25209,"Manufacturing (Metals & Chemicals, and products thereof)"
STOREALL TECHNOLOGIES PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,63090,"Transport, storage and Communications"
SVS 21 BRIDGES PRIVATE LIMITED,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
TRIPYTRIX PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
BETTER CALL SAUL PRIVATE LIMITED  ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,74999,Business Services
SUSHKRAFT (OPC) PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
AMARNIDHI MICROSERVICES FOUNDATION  ,13/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
PATTADAKAL PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
APEX-RUBBER PRODUCTS PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,51909,Trading
BANG-ON CONTENTS (OPC) PRIVATE LIMITED  ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
PRABHUTI WOMEN FARMER PRODUCER COMPANY LIMITED ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
PETS CENTRIC PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,52609,Trading
INFINITE ATOMZ POWER PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,40106,"Electricity, Gas & Water companies"
ANSH GLOBAL TECHNOLOGIES SOLUTION PRIVATE LIMITED ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72200,Business Services
DHWAJA CROP SCIENCE PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
NUCULEUS LABS CARE PRIVATE LIMITED  ,13/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
SUMANTAI SHALIGRAM PATIL (MANATKAR) GINNING & PRESSING PRIVATE LIMITED ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,17299,Manufacturing (Textiles)
DOCFERS INDIA PRIVATE LIMITED  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
JAI MARUTI COATINGS PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,27205,"Manufacturing (Metals & Chemicals, and products thereof)"
VIBRAMA DEVELOPERS PRIVATE LIMITED  ,13/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,70109,Real Estate and Renting
LEGIBLE SOFTWARE CONSULTING SERVICES PRIVATE LIMITED ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72900,Business Services
SHIVANSH HR SERVICES PRIVATE LIMITED  ,13/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,74910,Business Services
CONNECT MARUTHI VENTURES PRIVATE LIMITED  ,13/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,52599,Trading
BIZENCORP PRIVATE LIMITED  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,74910,Business Services
BRIDGING DOTS MEDIA SOLUTIONS PRIVATE LIMITED ,13/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,92419,"Community, personal & Social Services"
PURENCIA BEAUTY PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
BREAK OF DAWN PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,15549,Manufacturing (Food stuffs)
SUDAMACHE POHE PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,55209,Trading
VBH MARKETS PRIVATE LIMITED  ,13/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,74300,Business Services
EXELLIGENT TRAINING & CONSULTANCY PRIVATE LIMITED ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,80902,"Community, personal & Social Services"
KEYAANSH SKILL FOUNDATION  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,80902,"Community, personal & Social Services"
MACKENZIE IMMIGIRATION PRIVATE LIMITED  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,80903,"Community, personal & Social Services"
DRUGBIO PHARMA PRIVATE LIMITED  ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
AADI STAR PRIVATE LIMITED  ,13/04/21,Apr-21,Chattisgarh,RoC-Chhattisgarh,Company limited by Shares,Private,Non-govt company,15549,Manufacturing (Food stuffs)
WE GYAN VENTURES PRIVATE LIMITED  ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,74999,Business Services
LOMAN AUTOKONNECT PRIVATE LIMITED  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,34300,Manufacturing (Machinery & Equipments)
JOURNYZ FROM ZINDA TECH PRIVATE LIMITED  ,13/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Subsidiary of Foreign Company,72900,Business Services
CIPIKEM LABORATORIES PRIVATE LIMITED  ,13/04/21,Apr-21,Uttarakhand,RoC-Uttarakhand,Company limited by Shares,Private,Non-govt company,51909,Trading
AVDS ENTERPRISE PRIVATE LIMITED  ,13/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,70109,Real Estate and Renting
BALUNI CARGO MOVERS PRIVATE LIMITED  ,13/04/21,Apr-21,Uttarakhand,RoC-Uttarakhand,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
SANGATA PURKHAUTI AGRO FARMERS PRODUCER COMPANY LIMITED ,13/04/21,Apr-21,Chattisgarh,RoC-Chhattisgarh,Company limited by Shares,Private,Non-govt company,1114,Agriculture and Allied Activities
ELITE TECHNOSOFT PRIVATE LIMITED  ,13/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,52609,Trading
ATOM CTO PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72900,Business Services
BIDWINGS INDIA PRIVATE LIMITED  ,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Subsidiary of Foreign Company,63040,"Transport, storage and Communications"
MAATROM HR SOLUTION PRIVATE LIMITED  ,13/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,74999,Business Services
LIONS GATE INFRATECH PRIVATE LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,45309,Construction
I2R SERVICES PRIVATE LIMITED,13/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
D A S ENGINEERING INFRA PRIVATE LIMITED  ,13/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,45209,Construction
FRONTFOCUS SECURITY AND MANPOWER SERVICES (OPC) PRIVATE LIMITED ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
JEEVALAYA FINANCE AND LEASING PRIVATE LIMITED ,13/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,65929,Finance
SAMARTHA INNOVATIVE TECHNOLOGIES PRIVATE LIMITED ,13/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
KISSAN CHARITY FOUNDATION  ,13/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
BEEING EVENTS AND ENTERTAINMENT PRIVATE LIMITED ,13/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,92490,"Community, personal & Social Services"
SKYTIQUE PROPERTIES PRIVATE LIMITED  ,13/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,70109,Real Estate and Renting
KARAIPATTY WOMEN FARMER PRODUCER COMPANY LIMITED ,13/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
SHANAYAA SECURITIES PRIVATE LIMITED  ,13/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,65990,Finance
NR PLANET PRIVATE LIMITED  ,13/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,72200,Business Services
KEDAR SHASHWAT ENERGY PRIVATE LIMITED  ,13/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
SHOORA RETAIL PRIVATE LIMITED  ,13/04/21,Apr-21,Chattisgarh,RoC-Chhattisgarh,Company limited by Shares,Private,Non-govt company,74999,Business Services
NT REMOVALS LIMITED  ,13/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Public,Non-govt company,63030,"Transport, storage and Communications"
