company_name,date_of_registration,month_name,state,roc,category,class,company_type,activity_code,activity_description
ANTON LOGISTICS PRIVATE LIMITED  ,19/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
TOURNAFEST GAMING PRIVATE LIMITED  ,29/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,72900,Business Services
LINGOWORLD TRANSLATION AND INTERPRETATION SERVICES PRIVATE LIMITED ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
SCT AGARBATTI PRODUCER COMPANY LIMITED  ,19/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
PUDUKUDI PRIVATE LIMITED  ,19/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,52609,Trading
UNITEDBEES AGTECH PRIVATE LIMITED  ,29/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
RSGV MANDK PRIVATE LIMITED  ,19/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,51909,Trading
MEDWORKS INDIA PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,51909,Trading
OSA TECHNOLOGY PRIVATE LIMITED  ,23/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,52590,Trading
WAVETECH BUSINESS SOLUTION PRIVATE LIMITED ,19/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,72900,Business Services
STENCARE MOLECULES PRIVATE LIMITED  ,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
NAIKIN INFORMATION TECHNOLOGY PRIVATE LIMITED ,19/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,72900,Business Services
ANANT BHOOMI SHOP OWNERS ASSOCIATION  ,19/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
AB14 FASHION PRIVATE LIMITED,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles)
SCOUTING BRILLIANCE PRIVATE LIMITED  ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
BOB MARLEY FOOTBALL CLUB PRIVATE LIMITED  ,26/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,92419,"Community, personal & Social Services"
FARM CLAN DEVELOPER PRIVATE LIMITED  ,29/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,45202,Construction
MAGIS VALOR PRIVATE LIMITED  ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
TAXFYLING INDIA PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,74999,Business Services
VIKRAM MEHTA DESIGN STUDIO PRIVATE LIMITED ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,51909,Trading
RAIMAS PHARMACEUTICAL PRIVATE LIMITED  ,29/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,24290,"Manufacturing (Metals & Chemicals, and products thereof)"
ANGUL FARMERS PRODUCER COMPANY LIMITED  ,23/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
ELECTRUM IT SOLUTIONS PRIVATE LIMITED  ,19/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,72900,Business Services
ANDROMEDA TRAVEL SOLUTIONS PRIVATE LIMITED ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
SINGH AND BHUNIYA INDUSTRIALIST PRIVATE LIMITED ,19/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,45309,Construction
SWARNPRABHAS PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,92199,"Community, personal & Social Services"
HEFTIG DIGITAL SERVICES PRIVATE LIMITED  ,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
SEREIN RESOURCES & SERVICES PRIVATE LIMITED ,29/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
RENUKA TELECOMMUNICATIONS AND BROADCASTING PRIVATE LIMITED ,19/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,64200,"Transport, storage and Communications"
VEBLOANS & PROJECTS ADVISORS PRIVATE LIMITED ,21/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,74999,Business Services
AAYU BUILD-TECH PRIVATE LIMITED  ,21/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,26999,"Manufacturing (Metals & Chemicals, and products thereof)"
SOLVING WEARABLES PRIVATE LIMITED  ,26/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles)
JITOSHI TECHNOLOGY PRIVATE LIMITED  ,26/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72200,Business Services
AMERALD CARE PRIVATE LIMITED  ,26/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
PIKMATIC CREATIONS PRIVATE LIMITED  ,21/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
GEOSOL INFRAPROJECTS PRIVATE LIMITED  ,30/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,45400,Construction
MS PATEL BEVERAGES PRIVATE LIMITED  ,30/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,15400,Manufacturing (Food stuffs)
QCS FOOD CERT PRIVATE LIMITED  ,21/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,74999,Business Services
COLDEST PRIVATE LIMITED  ,19/04/21,Apr-21,Himachal Pradesh,RoC-HimachalPradesh,Company limited by Shares,Private,Non-govt company,25209,"Manufacturing (Metals & Chemicals, and products thereof)"
ALMATTI AGRO PRODUCER COMPANY LIMITED  ,30/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
WAARI TECH SOLUTIONS INDIA PRIVATE LIMITED ,27/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,74999,Business Services
TATHASTU HOLISTIC LIVELIHOOD CENTER INDIA ,30/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,80904,"Community, personal & Social Services"
AAI-KALUBAI RURAL DEVELOPMENT NIDHI LIMITED ,30/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Public,Non-govt company,65990,Finance
TOWN FORCE MANPOWER SERVICES PRIVATE LIMITED ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
RYLAN PHARMACHEM PRIVATE LIMITED  ,30/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,24290,"Manufacturing (Metals & Chemicals, and products thereof)"
BLACK N WHITE JOURNAL LEGAL TECHNOLOGIES (OPC) PRIVATE LIMITED ,19/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
ARAMM DIGITAL PRESS PRIVATE LIMITED  ,19/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,74999,Business Services
NRI OUT OF TOWN SOLUTIONS PRIVATE LIMITED ,19/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,74999,Business Services
STARTITQUICK PRIVATE LIMITED  ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
ABHIRAJ ENERGY AND ENVIRONMENTAL SOLUTIONS INDIA PRIVATE LIMITED ,30/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,74999,Business Services
C&C INFRAVENTURE PRIVATE LIMITED  ,30/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,45309,Construction
VO VO SOFTWARE SOLUTIONS (OPC) PRIVATE LIMITED ,30/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
EYLOR ENLISTING PRIVATE LIMITED  ,27/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
SRI SAI BALAJI BUILDCON PRIVATE LIMITED  ,27/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,45200,Construction
THE KERALA INDUSTRIAL CORRIDOR DEVELOPMENT CORPORATION LIMITED ,21/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Public,Non-govt company,45203,Construction
ABLEBRAIN HR SOLUTION INDIA PRIVATE LIMITED ,21/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
IGRY ESPORTS PRIVATE LIMITED  ,21/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,92490,"Community, personal & Social Services"
DAG IT SERVICES PRIVATE LIMITED  ,21/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,72900,Business Services
REM BUTI TECHNOLOGY PRIVATE LIMITED  ,21/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72900,Business Services
VINAYAK-RAJ MUTUAL BENEFIT NIDHI LIMITED  ,21/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Public,Non-govt company,65990,Finance
MMGS FASHIONS PRIVATE LIMITED  ,21/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52320,Trading
HEALCSS BIOTEC PRIVATE LIMITED  ,27/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,51909,Trading
JAY BAJRANGBALI CIVICON PRIVATE LIMITED  ,27/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,45201,Construction
SONAAR INFRATECH PRIVATE LIMITED  ,27/04/21,Apr-21,Uttarakhand,RoC-Uttarakhand,Company limited by Shares,Private,Non-govt company,45200,Construction
KISHAA FINANCE & INVESTMENT PRIVATE LIMITED ,27/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,65999,Finance
BARBARIK SHYAM FARMER PRODUCER COMPANY LIMITED ,27/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
AVSOL INDIA PRIVATE LIMITED  ,27/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
PARALLEL INFINITY (OPC) PRIVATE LIMITED  ,27/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private(One Person Company),Non-govt company,31909,Manufacturing (Machinery & Equipments)
PHONEPE WEALTH BROKING PRIVATE LIMITED  ,27/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,65990,Finance
GLR INFRA PROJECTS (OPC) PRIVATE LIMITED  ,30/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private(One Person Company),Non-govt company,14290,Mining & Quarrying
RED INDIAN DIAMOND ERA (OPC) PRIVATE LIMITED ,30/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
BLUE LIONS BUSINESSS LINK PRIVATE LIMITED ,21/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
AERO SMART SOLUTIONS PRIVATE LIMITED  ,21/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
KNYAZ FINTECH PRIVATE LIMITED  ,21/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
VRS MULTITRADE PRIVATE LIMITED  ,21/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,51909,Trading
HELOI TARET AUTOMOTIVES PRIVATE LIMITED  ,21/04/21,Apr-21,Assam,RoC-Shillong,Company limited by Shares,Private,Non-govt company,29308,Manufacturing (Machinery & Equipments)
LIVE 7 PRIVATE LIMITED,21/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,52100,Trading
KHALLIKOTE FARMERS PRODUCER COMPANY LIMITED ,21/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
ANOINTED FOUNDATION  ,30/04/21,Apr-21,Karnataka,RoC-Bangalore,Company Limited by Guarantee,Private,Non-govt company,80903,"Community, personal & Social Services"
AARAV TUBES PRIVATE LIMITED  ,30/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,27109,"Manufacturing (Metals & Chemicals, and products thereof)"
ERAVAT FEEDS PRIVATE LIMITED  ,19/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,15490,Manufacturing (Food stuffs)
KAMALNAGAR AGRO PRODUCER COMPANY LIMITED  ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
ILMUL FURQAN INSTITUTE OF ISLAMIC STUDIES PRIVATE LIMITED ,21/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,80902,"Community, personal & Social Services"
NUTRIMODE INTERNATIONAL PRIVATE LIMITED  ,27/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,24110,"Manufacturing (Metals & Chemicals, and products thereof)"
ACHYUT MICROCARE FOUNDATION  ,30/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
CONVE EDUTECH PRIVATE LIMITED  ,27/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,80902,"Community, personal & Social Services"
BIO PACCK PRIVATE LIMITED  ,19/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,28930,"Manufacturing (Metals & Chemicals, and products thereof)"
ANNAMALAIYAR 10K FARMER PRODUCER COMPANY LIMITED,27/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
FAIRA GLOBAL TRADING (OPC) PRIVATE LIMITED ,30/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private(One Person Company),Non-govt company,51909,Trading
GUETE ENERGY PRIVATE LIMITED  ,21/04/21,Apr-21,Arunachal Pradesh,RoC-Shillong,Company limited by Shares,Private,Non-govt company,50400,Trading
SUMITRAI FARMER PRODUCER COMPANY LIMITED  ,21/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
EMPENNAGE TECH LABS PRIVATE LIMITED  ,19/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
MAHAKAAL SEVA YOUTH FOUNDATION  ,19/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
TRAVEL BIN PRIVATE LIMITED  ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,63040,"Transport, storage and Communications"
HOMEVILLA REALTY PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,70109,Real Estate and Renting
ALAVI TRADING PRIVATE LIMITED  ,05/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,51909,Trading
TVISHA VENTURES PRIVATE LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,45309,Construction
EQUIPE CONTAINER SERVICES INDIA PRIVATE LIMITED ,30/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Subsidiary of Foreign Company,72900,Business Services
BIM CONNEX PRIVATE LIMITED  ,15/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,74999,Business Services
ALLERSSEN PHARMACEUTICALS PRIVATE LIMITED ,21/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,24297,"Manufacturing (Metals & Chemicals, and products thereof)"
ANIKA CORPORATE E-SOLUTIONS PRIVATE LIMITED ,21/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,74999,Business Services
JAZZY HOTELS & RESORTS PRIVATE LIMITED  ,21/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,55209,Trading
UPLINK-AUTOMATION PRIVATE LIMITED  ,21/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,29299,Manufacturing (Machinery & Equipments)
PREMKAUSHAL INDIA PRIVATE LIMITED  ,27/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,15549,Manufacturing (Food stuffs)
SUNWEST BIO MEDICAL PRIVATE LIMITED  ,19/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,33110,Manufacturing (Machinery & Equipments)
GROVE UP PRIVATE LIMITED  ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,29256,Manufacturing (Machinery & Equipments)
ARDH SAINIK PHARMACY PRIVATE LIMITED  ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
MONDHE HOTELS PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,55101,Trading
S25DIGITAL STUDIO (OPC) PRIVATE LIMITED,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,72200,Business Services
JHADIPATTI FARMER PRODUCER COMPANY LIMITED ,07/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,1409,Agriculture and Allied Activities
KEDIACAB SERVICES PRIVATE LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
MOHSIN CONSULTANCY SERVICES PRIVATE LIMITED ,05/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
METICULOUS STYLES PRIVATE LIMITED  ,05/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,18209,Manufacturing (Textiles)
INTERLEARN PRIVATE LIMITED  ,07/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,80900,"Community, personal & Social Services"
EMDOK PHARMACEUTICALS PRIVATE LIMITED  ,15/04/21,Apr-21,Chandigarh,RoC-Chandigarh,Company limited by Shares,Private,Non-govt company,24297,"Manufacturing (Metals & Chemicals, and products thereof)"
VIDHYA KRISHI KALYAN PRODUCER COMPANY LIMITED ,15/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
SAJAN SHREE APPARELS (INDIA) PRIVATE LIMITED ,05/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles)
MINEPARTS INDUSTRIES PRIVATE LIMITED  ,05/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,29100,Manufacturing (Machinery & Equipments)
PROCLICK TECHNOLOGIES PRIVATE LIMITED  ,27/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,29200,Manufacturing (Machinery & Equipments)
UPQUARK CLOUD TECHNOLOGIES PRIVATE LIMITED ,15/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72502,Business Services
MOHD IBRAHIM BHAT PRIVATE LIMITED  ,15/04/21,Apr-21,Jammu & Kashmir,RoC-Jammu,Company limited by Shares,Private,Non-govt company,29309,Manufacturing (Machinery & Equipments)
EON AGRONOMICS PRIVATE LIMITED  ,27/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
SATARA GREEN GOLD FARMER PRODUCER COMPANY LIMITED ,05/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
DHARMIC FASHIONS PRIVATE LIMITED  ,05/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles)
COREJOBS CAREER SERVICES PRIVATE LIMITED  ,05/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,80903,"Community, personal & Social Services"
MANA MART SUPERMARKET INDIA PRIVATE LIMITED ,30/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,51909,Trading
LETYGO VENTURES PRIVATE LIMITED  ,07/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,74999,Business Services
ORNATE SHEDS PRIVATE LIMITED  ,27/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,70109,Real Estate and Renting
VAAYUCON PROJECTS INDIA PRIVATE LIMITED  ,19/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,51300,Trading
IFMFINCOACH GLOBAL PRIVATE LIMITED  ,19/04/21,Apr-21,Punjab,RoC-Chandigarh,Company limited by Shares,Private,Non-govt company,80903,"Community, personal & Social Services"
MANVENDRA SMARATI SEVA FOUNDATION  ,07/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
PLANTOGREEN AGRO FOODS PRIVATE LIMITED  ,30/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,1111,Agriculture and Allied Activities
SAVETHEM INDIA FOUNDATION  ,27/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
SAILEELA MULTIPURPOSE URBAN NIDHI LIMITED ,15/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Public,Non-govt company,65990,Finance
SPACE EXPLORER (OPC) PRIVATE LIMITED  ,27/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
VR INTERNET PRIVATE LIMITED  ,27/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,64200,"Transport, storage and Communications"
KAFFER PALA VENTURES PRIVATE LIMITED  ,27/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,45202,Construction
LAXMIGANAPATI PALM OILFED PRODUCER COMPANY LIMITED ,05/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
AVSTO CARE PRIVATE LIMITED  ,05/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,24297,"Manufacturing (Metals & Chemicals, and products thereof)"
IT-TECNICA CONSULTING PRIVATE LIMITED  ,27/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
AAROHANAM ENTERPRISES PRIVATE LIMITED  ,27/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,33119,Manufacturing (Machinery & Equipments)
NAYIUDAN ENTERPRISES (OPC) PRIVATE LIMITED ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private(One Person Company),Non-govt company,51909,Trading
INFOTASK SOLUTION PRIVATE LIMITED  ,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
SRI MALLESHWARA CONSTRUCTIONS PRIVATE LIMITED ,05/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,45209,Construction
OZU SUPPLY CHAIN (OPC) PRIVATE LIMITED  ,15/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private(One Person Company),Non-govt company,63030,"Transport, storage and Communications"
TECH BOON MANAGEMENT SYSTEMS PRIVATE LIMITED ,15/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
RJVS CONSTRUCTION PRIVATE LIMITED  ,15/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,70109,Real Estate and Renting
VIDE ENGINEERING CONSULTANTS PRIVATE LIMITED ,27/04/21,Apr-21,Goa,RoC-Goa,Company limited by Shares,Private,Non-govt company,74999,Business Services
INGRAM INFOTECH INDIA PRIVATE LIMITED  ,15/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52392,Trading
G DIGI INDIA SOFTWARE SOLUTIONS PRIVATE LIMITED ,15/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,74999,Business Services
WSAFE SUSTAINABILITY SERVICES PRIVATE LIMITED ,15/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,37200,Manufacturing (Others)
SE STEAM ENGINE PRIVATE LIMITED  ,15/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,50400,Trading
DAVOOD AND HYDER FOUNDATION  ,12/04/21,Apr-21,Jammu & Kashmir,RoC-Jammu,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
KACKER ENTERPRISES PRIVATE LIMITED  ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52321,Trading
HATIGARH GLOBAL FOUNDATION  ,19/04/21,Apr-21,Assam,RoC-Shillong,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
